# spec/derived/rules.tsv
#
# Generated by `cargo run -p xtask -- derive`. Do not edit. `derive --check`
# fails when rereading the snapshot would change a byte, and a hand edit is a bug
# even when it is correct, because the next revision of the specification will
# not carry it forward (ADR 0009).
#
# One row per statement of JLReq this library answers for: every section of §3 and of Appendices B through F that states something in its own words, and every note of §B.2, §C.2, §D.2 and §E.2.
#
# Source: spec/snapshot/index.html
# Source SHA-256: cfb1def5bf1594d59080a26d8d03c2670bb3116490ab57ef6e131b166a7c832f
# Reader: xtask/src/derive.rs, xtask/src/inventory.rs
# Reader SHA-256: 71d060ca426af22f7aa6b34424a01c5035090d63895e5543db9be62e97880231

address	name	standing	direction_conditional	statement_en	statement_ja
3.1.9	POSITIONING_OF_CLOSING_BRACKETS_FULL_STOPS_COMMAS_AND_MIDDLE_DOTS_AT_LINE_END	Normative	false	In principle, closing brackets (cl-02), commas (cl-07) or full stops (cl-06) at the line end have half em spacing after them (see Figure 76). This half em spacing can be removed for line adjustment (for more about line adjustment, see § 3.8 Line Adjustment ). However, the possibilities are only half em spacing or solid. Other spacing, such as quarter em spacing should not be used. In principle, the middle dot (cl-05) character at the line end also has quarter em spacing before and after, and is handled like a full-width character (see Figure 76). This quarter em spacing can also be removed for line adjustment, namely middle dots (cl-05) can be set solid before and after (about line adjustment, see § 3.8 Line Adjustment ). However, in this case also, the only possibilities are quarter em spacing or solid setting. Other intermediate-sized spacing should not be used.	行末に配置する終わり括弧類（cl-02），読点類（cl-07）及び句点類（cl-06）は，その後ろを原則として二分アキとする（Figure 76）．この，原則として二分アキとする箇所は，行の調整処理の詰める場合の対象にして，ベタ組としてもよい（行の調整処理については，§ 3.8 行の調整処理 を参照）．ただし，空き量を二分アキにするか又はベタ組にするかのどちらかで，その中間の値（例えば四分アキなど）としてはならない．また，行末に配置する中点類（cl-05）は，その前及び後ろを原則として四分アキとし，全角の扱いとする（Figure 76）．この原則として四分アキとする箇所も，行の調整処理の詰める場合の対象にして，中点類（cl-05）の前及び後ろを一緒にベタ組としてもよい（行の調整処理については§ 3.8 行の調整処理 を参照）．ただし，空き量を四分アキとするかベタ組にするかのどちらかで，その中間の値としてはならない．
3.1.10	UNBREAKABLE_CHARACTER_SEQUENCES	Normative	false	If the following characters and symbols appear in sequence there will be no line break between them. The reason is that these characters and symbols are to be handled as one unit.	次のような文字・記号が連続する場合は，その字間で2行に分割しない（分割禁止）．これは，それらの文字・記号を一体として扱いたいためである．
3.1.11	CHARACTER_SEQUENCES_WHICH_DO_NOT_ALLOW_INCREASE_OF_SPACING_AS_PART_OF_LINE_ADJUSTMENT_PROCESSING	Normative	false	For line adjustment processing, spacing must not be increased between the following characters. (This is called the inseparable characters rule.) The reason is that these characters or symbols should appear as one unit (for more about line adjustment, see § 3.8 Line Adjustment ).	行の調整処理の際に，字間を空けて処理する場合，次の字間には空き量を入れることは避ける（分離禁止ともいう）．これは，それらの文字・記号を一体として扱いたいためである（行の調整処理については，§ 3.8 行の調整処理 を参照）．
3.1.12	EXAMPLES_OF_LINE_ADJUSTMENT	Normative	false	Methods of line adjustment processing are discussed in § 3.8 Line Adjustment . However, since layout processing of punctuation marks is one reason for the need for line adjustment processing, we will here introduce two main examples of cases where line adjustment processing is necessary, and show adjustment examples (see Figure 89).	行の調整処理の処理方法については，§ 3.8 行の調整処理 で解説するが，行の調整処理が必要になる要因の1つに約物の組版処理が関係することから，ここでは行の調整処理が必要となる主な2つの例とその調整例について解説する（Figure 89）．
3.2.1	COMPOSITION_OF_JAPANESE_AND_WESTERN_MIXED_TEXTS	Normative	false	There are a lot of examples of Japanese text in which Western and/or Greek letters are mixed among Japanese letters. Examples are as follows:	和文の中にラテン文字やギリシャ文字などの欧字・欧文を混植（和欧文混植）する例は多い．次のような例がある．
3.2.2	MIXED_TEXT_COMPOSITION_IN_HORIZONTAL_WRITING_MODE	Normative	false	In horizontal writing mode the basic approach is to use proportional Western fonts (Figure 90). For European numerals, both half-width fonts and proportional fonts are used. Note that Western word space (cl-26) is a one third em space, in principle, except at line head, line head of warichu, line end and line end of warichu. Western word space (cl-26) at line head, line head of warichu, line end and line end of warichu, is set solid.	横組では，原則としてプロポーショナルな欧字を用いる（Figure 90）．また，アラビア数字は，半角のアラビア数字又はプロポーショナルなアラビア数字を用いる．なお，欧文間隔（cl-26）は，三分アキを原則とする．ただし，行頭，割注行頭，行末及び割注行末の欧文間隔（cl-26）は，空き量を0とする．
3.2.3	MIXED_TEXT_COMPOSITION_IN_VERTICAL_WRITING_MODE	Normative	false	As explained in § 2.3.2 Major Differences between Vertical Writing Mode and Horizontal Writing Mode , there are three different styles for setting Latin letters and European numerals in vertical writing mode:	縦組では，§ 2.3.2 縦組と横組の主な相違点 で解説したように，欧字及びアラビア数字を配置する方法としては，次の3つの方法がある．
3.2.4	METHOD_FOR_SETTING_FULL_WIDTH_LATIN_LETTERS_AND_EUROPEAN_NUMERALS	Normative	false	When full-width and fixed-width Western characters or European numerals are set in vertical writing mode as "quasi" Japanese characters, inter-character spacing between these characters and hiragana (cl-15), katakana (cl-16) or ideographic characters (cl-19) are set solid, similar to ordinary ideographic characters (cl-19) (see Figure 99). Also, in principle, when full-width and fixed-width Western characters or European numerals are set after full stops (cl-06), commas (cl-07) or closing brackets (cl-02), or before opening brackets (cl-01), insert half em spacing after commas (cl-07) or closing brackets (cl-02), or before opening brackets (cl-01). In addition, in these cases, insert half em spacing after full stops (cl-06). When full-width and fixed-width Western characters or European numerals are set before a full stop (cl-06), comma (cl-07) or closing bracket (cl-02), or after an opening bracket (cl-01), the inter-character spacing before the full stop, comma or closing bracket, or after the opening bracket is set solid.	縦組で全角のモノスペースの欧字及び全角のモノスペースのアラビア数字を正常な向きで1字1字配置する場合は，一般の漢字と同様に前後に配置する平仮名（cl-15），片仮名（cl-16）又は漢字等（cl-19）との字間をベタ組にして配置する（Figure 99）．また，句点類（cl-06），読点類（cl-07）若しくは終わり括弧類（cl-02）の後ろ，又は始め括弧類（cl-01）の前に全角のモノスペースの欧字又は全角のモノスペースのアラビア数字がくる場合は，読点類（cl-07）若しくは終わり括弧類（cl-02）の後ろ，又は始め括弧類（cl-01）の前は，原則として二分アキとし，句点類（cl-06）の後ろは二分アキとする．句点類（cl-06），読点類（cl-07），若しくは終わり括弧類（cl-02）の前，又は始め括弧類（cl-01）の後ろに全角のモノスペースの欧字又は全角のモノスペースのアラビア数字がくる場合は，句点類（cl-06），読点類（cl-07）若しくは終わり括弧類（cl-02）の前，又は始め括弧類（cl-01）の後ろをベタ組とする．
3.2.5	HANDLING_OF_TATE_CHU_YOKO_HORIZONTAL_IN_VERTICAL_SETTINGS	Normative	true	To set strings as tate-chu-yoko (horizontal-in-vertical setting), first set from left to right using solid setting, then align the whole string to the center of the vertical line (Figure 101). When hiragana (cl-15), katakana (cl-16) or ideographic characters (cl-19) are set before/after tate-chu-yoko, the inter-character spacing is set solid. In principle, when tate-chu-yoko is set after a comma (cl-07) or closing bracket (cl-02), or before an opening bracket (cl-01), half em spacing is added. In addition, when tate-chu-yoko is set after a full stop (cl-06) in the middle of a line, half em spacing is added. When a full stop (cl-06) is set at the end of a line, half em spacing is inserted after it, in principle. When tate-chu-yoko is set before full stops, commas or closing brackets, or after opening brackets, the inter-character spacing is set solid.	縦中横に配置する文字列は，横方向（左から右方向）にベタ組で配置し，その文字列全体を行の中央に配置する（Figure 101）．なお，縦中横の前後に配置する平仮名（cl-15），片仮名（cl-16）又は漢字等（cl-19）との字間は，ベタ組にする．縦中横の文字列が読点類（cl-07）若しくは終わり括弧類（cl-02）の後ろ，又は始め括弧類（cl-01）の前にくる場合は，それらとの字間を原則として二分アキとする．行中で縦中横の文字列が句点類（cl-06）の後ろにくる場合は，その字間を二分アキとする．ただし，句点類（cl-06）が行末に位置した場合は，句点類（cl-06）の後ろを原則として二分アキにする．句点類（cl-06），読点類（cl-07）若しくは終わり括弧類（cl-02）の前，又は始め括弧類（cl-01）の後ろに縦中横の文字列がくる場合は，その字間はベタ組とする．
3.2.6	HANDLING_OF_WESTERN_TEXT_IN_JAPANESE_TEXT_USING_PROPORTIONAL_WESTERN_FONTS	Normative	false	Composition rules for Western characters, Western text and European numerals, set rotated 90 degrees clockwise in vertical writing mode, and horizontal writing mode, are as follows:	縦組で文字を時計回りに90度回転して配置する欧字・欧文・アラビア数字又は横組で混植する欧字・欧文・アラビア数字の配置方法は，次のようにする．
3.3.1	USAGE_OF_RUBY	Normative	false	Ruby is a small-sized, supplementary text attached to a character or a group of characters in the main text. A run of ruby text, usually attached to the right of the characters in vertical writing mode or immediately above them in horizontal writing mode, indicates the reading or the meaning of those characters (see Figure 105). The characters in the main text that are annotated by ruby are called "base characters". Mainly Hiragana (cl-15) characters are often used for ruby to indicate how to read ideographic characters (cl-19); this is known as ruby annotation or as "furigana".	ルビとは，文字のそば（縦組では一般に右側，横組では一般に上側）に付けて文字の読み方，意味などを示す小さな文字のことである（Figure 105）．ルビを付ける場合，その対象となる文字のことを親文字という．ルビとしては，漢字等（cl-19）の読みを示す平仮名（cl-15）などを付けることが多く，“振り仮名”ともよばれている．
3.3.2	CHOICE_OF_BASE_CHARACTERS_TO_BE_ANNOTATED_BY_RUBY	Normative	false	There are several methods of choosing how to attach ruby annotations to which base characters.	ルビをどのような言葉に，どのように付けるかは各種の方法がある．
3.3.3	CHOICE_OF_SIZE_FOR_RUBY_CHARACTERS	Normative	false	The character size of ruby characters is, in principle, the half size of the base characters (see Figure 114).	ルビの文字サイズは，原則として親文字の文字サイズの1/2とする（Figure 114）．
3.3.4	CHOICE_OF_SIDES_FOR_RUBY_WITH_RESPECT_TO_BASE_CHARACTERS	Normative	false	In principle, ruby is attached to the right of base characters in vertical writing mode, and above in horizontal writing mode.	縦組の場合，ルビは親文字の右側，横組の場合，ルビは親文字の上側に付けるのが原則である．
3.3.5	POSITIONING_OF_MONO_RUBY_WITH_RESPECT_TO_BASE_CHARACTERS	Normative	true	When mono-ruby characters are Japanese, they are set solid. If mono-ruby characters have their own character widths such as Western characters or European numerals, they are set according to their own widths and then the ruby text is placed so that its center matches that of its base character. There are more variations depending on the combination of the base character and ruby text and accordingly various composition rules have been invented, which will be explained with examples.	モノルビの場合，モノルビのルビ文字列はベタ組とし，ルビ文字列が欧字やアラビア数字など固有の字幅を持つ文字の場合には，それぞれの文字の固有の字幅に応じて配置する．そのうえで，親文字列とルビ文字列の中央をそろえて配置することが原則である．しかし，親文字とルビの組合せに種々の例があり，様々な工夫もされているので，例を挙げながら解説する．
3.3.6	POSITIONING_OF_GROUP_RUBY_WITH_RESPECT_TO_BASE_CHARACTERS	Normative	false	When the length of a sequence of base characters (number of characters * advance-width of each character) and that of the ruby text are the same, each text is set solid and the center of both texts are aligned with each other (see Figure 123).	親文字の文字列の長さとルビ文字の文字列の長さが同じ場合は，それぞれの文字列をベタ組にし，文字列の中心をそろえて配置する（Figure 123）．
3.3.7	POSITIONING_OF_JUKUGO_RUBY_WITH_RESPECT_TO_BASE_CHARACTERS	Normative	false	If the number of ruby characters are two or less for each ideographic characters (cl-19) which participates in a kanji compound word (or jukugo), then for each run of ruby text associated with each base character, compose ruby characters as described in § 3.3.5 Positioning of Mono-ruby with Respect to Base Characters (see Figure 129).	熟語を構成するそれぞれの漢字等（cl-19）に付くルビ文字がそれぞれ2文字以下の場合，それぞれの親文字の漢字等（cl-19）とルビ文字を対応させ，§ 3.3.5 モノルビの親文字に対する配置位置 で述べた方法で配置する（Figure 129）．
3.3.8	ADJUSTMENTS_OF_RUBY_WITH_LENGTH_LONGER_THAN_THAT_OF_THE_BASE_CHARACTERS	Normative	false	When the length of any ruby text is shorter than that of the base characters, the main text can be just set solid because there is no need for any adjustment of the inter-character spacing between base characters and their adjacent characters in the main text.	ルビ文字の文字列が親文字の文字列より短い場合は，親文字の前後に配置する他の漢字等（cl-19）や平仮名（cl-15）とルビの付く親文字との字間をベタ組にして配置すればよい（Figure 134）．
3.3.9	COMPOSITION_OF_EMPHASIS_DOTS	Normative	false	Emphasis dots (also known as bouten or side dots) are symbols placed alongside a run of ideographic character (cl-19) or hiragana (cl-15) characters to emphasize the text.	圏点（傍点ともいう）は，漢字等（cl-19）や平仮名（cl-15）などの文字列に付け，その文字列を強調する役割を果たす．
3.4.1	WHERE_THE_INLINE_CUTTING_NOTE_WARICHU_IS_USED	Normative	false	Warichu (inline cutting note) is a type of inline notation, where two lines of small characters are inserted into the text. Warichu divides a line into two sub lines. The frequency of use of the inline cutting note is not so high. However, the inline cutting note is very important for study guides, travel guides, reference books, encyclopedias and manuals, because it is very effective for inserting notes at the point in the text where they are needed (see Figure 145). Inline cutting note is usually used in vertical writing mode. It is very infrequently used in horizontal writing mode.	割注とは，行の途中に挿入する注（挿入注）の一種で，2行に割って（割り書きという）挿入することから，その名前が付けられている．割注の使用頻度は多くないが，その該当用語が出てきた箇所に直接補足説明できることから，学習参考書，旅行ガイド，事典類，解説書などで利用されており，人物・用語等の簡単な紹介に重要な役割を果たしている（Figure 145）．縦組での利用が多く，横組での例は非常に少ない．
3.4.2	CHARACTER_SIZE_FOR_INLINE_CUTTING_NOTES_AND_LINE_GAPS	Normative	false	Character size for an inline cutting note depends on the character size established for the kihon-hanmen. Usually, around six point size is used (see Figure 145).	割注の文字サイズは，指定によるが，一般に6ポイント程度の文字が使用されている（Figure 145）．
3.4.3	HANDLING_AN_INLINE_CUTTING_NOTE_WHEN_IT_STRADDLES_TWO_KIHON_HANMEN_LINES	Normative	false	When an inline cutting note will not fit on a single kihon-hanmen line, it will wrap onto the following line, and will be set as shown in Figure 148 or Figure 149.	割注の挿入位置や分量によっては，本文の1行の中に割注がすべて配置できなく，割注を本文の2行又は3行以上にわたって配置する場合がある．この場合の文字列の配置順序及びそれぞれの割注の行長は，Figure 148又はFigure 149のようにする．
3.5.1	LINE_HEAD_INDENT_AT_THE_BEGINNING_OF_PARAGRAPHS	Normative	false	A paragraph, a section of a document which consists of one or more sentences to indicate a distinct idea, usually begins on a new line. For the related line head indent at the beginning of paragraphs (in JIS 4051, this is called the "paragraph line head indent") the following methods are available. The amount of spacing used for the indentation is, in principle, one em spacing using the character size in the paragraph.	ある意味のまとまりを持った複数の文で構成されている段落（意味上の段落）を示す場合に，通常，新しい段落で改行にしている．この際，段落先頭行の字下げ（JIS X 4051では“段落字下げ”という用語を使用している）については，次のような方法がある．なお，字下げする場合は，その段落で使用している文字サイズの全角アキが原則である．
3.5.2	LINE_HEAD_INDENT_AND_LINE_END_INDENT	Normative	false	The line head indent is the indentation of the line head by a fixed amount, starting from the line head side of the hanmen (in the case of one column) or of the column area (in the case of several columns). In contrast, the indentation of the line end position by a fixed amount, starting from the line head, is called line end indent.	字下げは，版面（1段組の場合）又は段の領域（多段組の場合）の行頭側の端から指定された量だけ行頭位置を下げる処理である．逆に行末側の端から指定された量だけ行末位置を上げる処理が字上げである．
3.5.3	SINGLE_LINE_ALIGNMENT_PROCESSING	Normative	false	The Japanese "single line alignment method" is a process for setting alignment for a run of text that is shorter than a given line length. This method is frequently used for headings and poems. The following methods are available (see Figure 157).	日本語組版でいう“そろえ”とは，1行の文字列について，指定した位置に文字の配置位置を合わせることである．見出しや詩などの比較的短い行をある一定の長さと位置に調整することである．次のような方法がある（Figure 157）．指定された行長以下の文字列を処理する方法なので，見出しや，複数行からなるが短い文章で構成される“詩”などで，指定の位置にそろえる場合に利用されている．
3.5.4	WIDOW_ADJUSTMENT_OF_PARAGRAPHS	Normative	false	The intent of widow adjustment of paragraphs is to avoid that the last line of a paragraph contains less than a given number of characters. This is also called "widow" processing.	段落末尾処理とは，段落の最終行の文字数が，ある文字数未満になることを避けるための処理のことである．ウィドウ（widow）処理ともいう．
3.6.1	USAGE_OF_TAB_SETTING	Normative	false	Tab setting is useful for alignment of table data, itemized lists, etc. where a series of characters need to be set at specific alignment positions within a line (see Figure 160).	タブ処理とは，ある特定の文字列を行中の指定された位置に合わせて配置することである．1つあるいは複数の文字列を行の特定の位置に配置する場合に利用できる．表形式のデータの配置，箇条書きなどに利用されている（Figure 160）．
3.6.2	TYPES_OF_TAB_SETTINGS	Normative	false	There are the following types of tab setting to align texts.	タブ処理で指定する配置位置にどのようにそろえるかの形式（タブ種）としては，次のようなものが必要になる．
3.6.3	THE_METHOD_OF_SETTING_THE_TARGET_TEXT	Normative	false	Set the text from the line head to the position before the tab sign in the first tab position, set the text from the first tab sign to the next tab sign in the second tab position, and so on. The behavior of opening brackets (cl-01) and closing brackets (cl-02), etc. is same as for the main text.	行頭から，タブ記号で区切られた文字列と，タブ処理として指定された配置位置（タブ位置）を，順番に対応させて配置する．それぞれの文字列に含まれる始め括弧類（cl-01），終わり括弧類（cl-02）などの組版処理は，本文と同じである．
3.7.1	SUPERSCRIPTS_AND_SUPERSCRIPTS	Normative	false	Superscripts and subscripts are small letters associated with base characters, and typically used to indicate SI unit symbols, or used for mathematical or chemical formulae.	添え字とは，文字のそばに付ける上付き文字又は下付き文字をいう．国際単位系（SI）の単位，数式，化学式等で使用されている．
3.7.2	FURIWAKE_PROCESSING	Normative	false	Furiwake is a typesetting style for setting multiple phrases or sentences in the middle of a line. Furiwake is also used to indicate options (see Figure 171). Study guides, manuals and reference books sometimes use furiwake. In many furiwake styles, multiple lines are indicated with opening brackets (cl-01) and closing brackets (cl-02), etc.	振分けとは，1行の途中に複数の言葉や文を配置する処理である．複数の選択肢を示す場合などに利用されている（Figure 171）．学習参考書，マニュアル，解説書などで使用している例がある．振分けを行う場合，複数の行を括弧類でくくることも多い．
3.7.3	JIDORI_PROCESSING	Normative	false	In cases such as lists of names of Japanese people, the length of some part of the text may be explicitly defined. In such cases, different numbers of characters are set, using adjustment of the inter-character spacing, so that they are all aligned to the same length. This is called jidori processing (see Figure 173).	日本人名の名簿を一覧にする場合など，行中の文字列の一部について全長を指定する例がある．このような場合に，行中の指定された文字列を，字間を調整して，字詰め方向について指定された長さにする処理が字取り処理である（Figure 173）．人名など字数の異なる文字列を指定した一定の長さでそろえたい場合に利用できる．
3.7.4	PROCESSING_OF_MATH_SYMBOLS_AND_MATH_OPERATORS	Normative	false	Math symbols and math operators, such as EQUALS SIGN "=", APPROXIMATELY EQUAL TO OR THE IMAGE OF "≒", PLUS SIGN "+" and MINUS SIGN "−" are commonly used not only for scientific and technical documents but also for ordinary books. In the Japanese composition system, there are two different groups of math symbols, which are each treated differently. So in this document math symbols are classified into two different classes; math symbols (cl-17) and math operators (cl-18).	理工学書だけでなく，一般の本でも，等号[=] (EQUALS SIGN)，ほとんど等しい[≒] (APPROXIMATELY EQUAL TO OR THE IMAGE OF)，正符号[+] (PLUS SIGN)，負符号[−] (MINUS SIGN)などの数学記号が使用されている．日本語組版では，等号，ほとんど等しいなどと，正符号，負符号などでは組版処理方法が異なる．そこで，この文書では，等号の類似記号を等号類（cl-17）に，正符号などの類似記号を演算記号（cl-18）に分けて，それらに限り，処理方法を解説する．
3.8.1	NECESSITY_FOR_LINE_ADJUSTMENT	Normative	false	Line adjustment processing is applied where inter-character adjustments are needed to bring the line end into the correct alignment, e.g. because of line wrap or other reasons. Within a paragraph, lines are created by separating character sequences at places where line breaking is not prohibited. Except for the end of the last line of a paragraph, it is necessary to set the head and end of each line at predicable, aligned positions. For the last line of the paragraph, it is still necessary to set the head at the aligned position, however the line end need not aligned to the other alignment position. To achieve this, only inter-character spacing indicated in the table of § B. Spacing between Characters , or explicitly chosen spacing, are added, and other inter-character spacing is set solid.	禁則処理その他の要因により行長に過不足が出る場合は，行の調整処理を行う．段落内では，分割禁止とされていない箇所で文字列を分割し，それぞれの行を構成していく．この際，段落末尾の1行の行長に満たない行以外の行は，指定された行長にし，段落末尾の1行の行長に満たない行以外の行頭及び行末の位置を所定の位置に配置する必要がある．段落末尾の1行の行長に満たない行は，隣接する文字の字間に§ B. 文字間の空き量 に示した原則とする空き量を挿入するか，又は指定された空き量がある場合はその空き量を挿入する以外は，原則としてベタ組にして文字列の先頭を行頭にそろえて配置し，文字列の末尾は行末にそろえる必要はない．
3.8.2	REDUCTION_AND_ADDITION_OF_INTER_CHARACTER_SPACING	Normative	false	Line adjustment processing targets places with a predefined spacing or solid setting. Methods for line adjustment are as follows.	行の調整処理は，規定されている空き量を確保した箇所又はベタ組の字間で調整する．その方法としては，次がある．
3.8.3	PROCEDURES_FOR_INTER_CHARACTER_SPACING_REDUCTION	Normative	false	For line adjustment by inter-character spacing reduction decisions must first be made about the preferred order in which reduction processing options are applied, and the maximum amount of spacing reduction needed. Inter-character spacing reduction is processed with following priorities.	詰める処理（追込み処理）を行う場合は，通常，優先順位と詰める限界を決めて行う．詰める処理は，次の順序で行う．
3.8.4	PROCEDURES_FOR_INTER_CHARACTER_SPACE_EXPANSION	Normative	false	As with line adjustment by inter-character spacing reduction, for line adjustment by inter-character spacing expansion at first the order of processing and the maximum amount of spacing to be added are defined. In JIS X 4051, the following processing order is defined.	空ける処理（追出し処理）を行う場合も詰める処理（追込み処理）と同様，優先順位と空ける限界を決めて行う．JIS X 4051では，次の順序で処理するように規定している．
3.9.1	DIFFERENCES_IN_POSITIONING_OF_CHARACTERS_AND_SYMBOLS	Normative	false	The positioning of characters and symbols may vary depending on the following.	文字や記号を行に配置する場合，次のような点でその振る舞い（配置方法）が異なる．
3.9.2	GROUPING_OF_CHARACTERS_AND_SYMBOLS_DEPENDING_ON_THEIR_POSITIONING	Normative	false	During layout processing, the issues mentioned in the previous section are addressed by grouping characters and symbols according to their characteristics, and handling them as character classes.	組版処理を行う場合，前項で述べたような事項について，性格を同じにする文字・記号ごとにグループに分け，文字クラスとして管理する方法がある．
