# spec/derived/notes.tsv
#
# Generated by `cargo run -p xtask -- derive`. Do not edit. `derive --check`
# fails when rereading the snapshot would change a byte, and a hand edit is a bug
# even when it is correct, because the next revision of the specification will
# not carry it forward (ADR 0009).
#
# Every note of the four sections the published document heads Notes / 注記, in both locales, numbered by its position in that section's first ordered list.
#
# Source: spec/snapshot/index.html
# Source SHA-256: cfb1def5bf1594d59080a26d8d03c2670bb3116490ab57ef6e131b166a7c832f
# Reader: xtask/src/derive.rs, xtask/src/inventory.rs
# Reader SHA-256: 0d6e67b72fe664ac460d75bafa4b812d982d10c46dd083d6ae447926ff67a98e

address	section	ordinal	text_en	text_ja
B.2#7	B.2	7	When a simple-ruby character complex (cl-22) or jukugo-ruby character complex (cl-23) is adjacent to katakana (cl-16), the preferred approach is to allow the ruby text to be extended up to the size of the ruby character over the katakana. However, if it is required to conform to JIS X 4051, ruby text shall not be extended over the katakana because katakana characters belong to the ideographic character class in JIS X 4051. There are alternative methods, one of which is to allow ruby text to be extended up to the size of the ruby character over any character including ideographic (cl-19) as well as hiragana (cl-15) and katakana (cl-16) characters, and another is NOT to allow ruby text to be extended over any character from hiragana (cl-15), katakana (cl-16) and ideographic characters (cl-19).	親文字群中の文字（熟語ルビ以外のルビ付き）（cl-22）又は親文字群中の文字（熟語ルビ付き）（cl-23）の前又は後ろに片仮名（cl-16），長音記号（cl-10）又は小書きの仮名（cl-11）を配置する場合，ルビ文字を最大でルビ文字の文字サイズまで掛けて配置してよい．ただし，JIS X 4051では，片仮名は，漢字等（cl-19）の文字クラスに含めているので，片仮名にルビ文字を掛けることは禁止されている． なお，平仮名（cl-15），片仮名（cl-16）だけでなく，漢字等（cl-19）を含めて，すべてルビ文字を最大でルビ文字の文字サイズの1/2まで掛けて配置してよい，とする方法や，平仮名（cl-15），片仮名（cl-16）及び漢字等（cl-19）のすべてにルビ文字を掛けない，とする処理方法もある．
B.2#8	B.2	8	Ruby text can be extended up to the size of the ruby character over the full-width ideographic space (cl-14). The preferred approach is to apply the same for the full-width line head indent at the beginning of a paragraph. The alternative approach is not to allow ruby text to be extended over the line head indent.	和字間隔（cl-14）には，ルビ文字を最大でルビ文字の文字サイズまで掛けて配置してよい．段落の先頭行の字下げを全角アキにする場合にも，この部分にルビ文字を最大でルビ文字の文字サイズまで掛けて配置してよい．ただし，段落の先頭行の字下げを全角アキにする部分にルビ掛けを禁止する処理方法もある．
B.2#9	B.2	9	When two adjacent characters belong to the same ornamented character complex (cl-21) run, set them according to the method explained in § 3.7.1 Superscripts and Superscripts . When two adjacent characters belong to two distinct ornamented character complex runs, set them solid.	後ろの文字が前の親文字群中の文字（添え字付き）（cl-21）と同一の親文字群の親文字群中の文字（添え字付き）（cl-21）の場合は，§ 3.7.1 添え字処理 で解説した方法で配置する．後ろの文字が前の親文字群中の文字（添え字付き）（cl-21）とは別の親文字群の親文字群中の文字（添え字付き）（cl-21）の場合，その字間はベタ組とする．
B.2#10	B.2	10	When two adjacent characters belong to the same simple-ruby character complex (cl-22) run, set them according to the method explained in § 3.3.5 Positioning of Mono-ruby with Respect to Base Characters or § 3.3.6 Positioning of Group-ruby with Respect to Base Characters . When two adjacent characters belong to two distinct simple-ruby character complex runs, set them solid.	後ろの文字が，前の親文字群中の文字（熟語ルビ以外のルビ付き）（cl-22）と同一の親文字群の親文字群中の文字（熟語ルビ以外のルビ付き）（cl-22）の場合は，§ 3.3.5 モノルビの親文字に対する配置位置 又は§ 3.3.6 グループルビの親文字に対する配置位置 で解説した方法で配置する．後ろの文字が前の親文字群中の文字（熟語ルビ以外のルビ付き）（cl-22）とは別の親文字群の親文字群中の文字（熟語ルビ以外のルビ付き）（cl-22）の場合，その字間はベタ組とする．
B.2#11	B.2	11	When two adjacent characters belong to the same jukugo-ruby character complex (cl-23) run, set them according to the method explained in § 3.3.7 Positioning of Jukugo-ruby with Respect to Base Characters . When two adjacent characters belong to two distinct simple-ruby character complex runs, set them solid.	後ろの文字が前の親文字群中の文字（熟語ルビ付き）（cl-23）と同一の親文字群の親文字群中の文字（熟語ルビ付き）（cl-23）の場合は，§ 3.3.7 熟語ルビの親文字に対する配置位置 で解説した方法で配置する．後ろの文字が前の親文字群中の文字（熟語ルビ付き）（cl-23）とは別の親文字群の親文字群中の文字（熟語ルビ付き）（cl-23）の場合，その字間はベタ組とする．
B.2#12	B.2	12	Character spacing between a preceding unit symbol (cl-25) and a trailing middle dot (cl-05) shall be a quarter em of the trailing character. Note that KATAKANA MIDDLE DOT "・" can be used either as a unit symbol (cl-25) or as a middle dot. When it is used as a unit symbol (cl-25), both preceding and trailing spacing of KATAKANA MIDDLE DOT "・" shall be zero.	前に配置する単位記号中の文字（cl-25）と後ろに配置する中点類（cl-05）の字間は，後ろに配置する中点類（cl-05）の文字サイズの四分アキである．ただし，中点[・] (KATAKANA MIDDLE DOT)は，単位記号中の文字（cl-25）としても使用する．この場合については，中点[・] (KATAKANA MIDDLE DOT)の前及び後ろはベタ組とする．
B.2#13	B.2	13	There shall be no visible space occupied by Western word space (cl-26) at the line head and that of warichu (inline cutting note), the line end and that of warichu (inline cutting note). If the condition is changed for the same text, restore the default visible space for Western word space (cl-26).	行頭，割注行頭，行末及び割注行末の欧文間隔（cl-26）は，空き量を0とする．ただし，この部分が移動し，これとは異なる配置になった場合は，欧文間隔（cl-26）の空き量を確保する．
B.2#14	B.2	14	In principle iteration marks (cl-09) should be placed neither at the line head nor at the head of an inline cutting note. When it happens with IDEOGRAPHIC ITERATION MARK "々", there are three ways to deal with this situation. Follow the principle by applying some sort of line adjustment. In this case, IDEOGRAPHIC ITERATION MARK "々" remains in iteration marks (cl-09). Allow IDEOGRAPHIC ITERATION MARK "々" to be placed either at the line head or at the head of an inline cutting note. In this case, the character shall be treated as part of the ideographic characters (cl-19) class. Replace IDEOGRAPHIC ITERATION MARK "々" with the corresponding character. line end: 国 line head: 々 <is replaced with> line end: 国 line head: 国 line end: 人 line head: 々 <is replaced with> line end: 人 line head: 人	行頭又は割注行頭に繰返し記号（cl-09）を配置することは原則として禁止である．ただし，繰返し記号（cl-09）のうち，行頭に配置される繰返し記号[々] (IDEOGRAPHIC ITERATION MARK)については，次の3つの処理方法がある． 原則通り行頭又は割注行頭に配置することは禁止し，なんらかの行の調整処理を行う．繰返し記号[々] (IDEOGRAPHIC ITERATION MARK)を繰返し記号（cl-09）に含めたままとする． 行頭又は割注行頭に配置することを許容する．この場合は，繰返し記号[々] (IDEOGRAPHIC ITERATION MARK)を漢字等（cl-19）に含める． 行頭又は割注行頭に配置する繰返し記号[々] (IDEOGRAPHIC ITERATION MARK)を元の漢字に変更する． 行末：国 行頭：々 → 行末：国 行頭：国 行末：人 行頭：々 → 行末：人 行頭：人
B.2#15	B.2	15	In principle, a prolonged sound mark (cl-10) should be placed neither at the head of a line nor that of an inline cutting note. If it were allowed, the character shall be treated as part of the katakana (cl-16) class.	行頭又は割注行頭に長音記号（cl-10）を配置することは，原則として禁止である．ただし，長音記号（cl-10）を行頭又は割注行頭に配置することを許容する処理方法もあり，書籍などでもよく採用されている．この場合，長音記号（cl-10）は，片仮名（cl-16）に含ませる．
B.2#16	B.2	16	In principle, small kana (cl-11) should be placed neither at the head of a line nor that of an inline cutting note in principle. If it were to be allowed, HIRAGANA LETTER SMALL * shall be treated as part of the hiragana (cl-15) class, and KATAKANA LETTER SMALL * as part of the katakana (cl-16) class.	行頭又は割注行頭に小書きの仮名（cl-11）を配置することは，原則として禁止である．ただし，小書きの仮名（cl-11）を行頭又は割注行頭に配置することを許容する処理方法もあり，書籍などでもよく採用されている．この場合，平仮名の“小書きの仮名”は平仮名（cl-15），片仮名の“小書きの仮名”は片仮名（cl-16）に含ませる．
B.2#17	B.2	17	The preferred character spacing between the line head and opening opening brackets (cl-01) is zero. An alternative way is not to remove a conditional half em spacing accompanying the characters (see § 3.1.5 Positioning of Opening Brackets at Line Head including methods of positioning of opening brackets at the beginning of paragraphs).	行頭に配置する始め括弧類（cl-01）の前はベタ組である．ただし，行頭に配置する始め括弧類（cl-01）の前を二分アキとする方式もある（改行の行頭に配置する始め括弧類（cl-01）の配置法を含め，§ 3.1.5 行頭の​始め括弧類の​配置方法 参照）．
C.2#1	C.2	1	If IDEOGRAPHIC ITERATION MARK "々" is allowed to appear at the line head or that of inline cutting note, the character shall be treated as a member of the ideographic character (cl-19) class. (For how it behaves in combination with other character classes, see the cells for ideographic characters (cl-19).)	繰返し記号[々] (IDEOGRAPHIC ITERATION MARK)を行頭又は割注行頭に配置することを許容する場合，繰返し記号[々] (IDEOGRAPHIC ITERATION MARK)は漢字等（cl-19）の文字クラスに含める（その扱いは漢字等（cl-19）の欄を参照）．
C.2#2	C.2	2	If a prolonged sound mark (cl-10) is allowed to appear at the head of a line or that of inline cutting note, the character shall be treated as a member of the katakana (cl-16) class. (For how it behaves in combination with other character classes, see the cells for katakana (cl-16).)	長音記号（cl-10）を行頭又は割注行頭に配置することを許容する場合，それは片仮名（cl-16）の文字クラスに含める（その扱いは片仮名（cl-16）の欄を参照）．
C.2#3	C.2	3	If small kana (cl-11) are allowed to appear at the head of a line or that of inline cutting note, the character shall be treated as a member of the hiragana (cl-15) or katakana (cl-16) classes accordingly, depending on the script type of the character. (For how it behaves in combination with other character classes, see the cells for hiragana (cl-15) or katakana (cl-16).)	小書きの仮名（cl-11）を行頭又は割注行頭に配置することを許容する場合，小書きの平仮名は平仮名（cl-15）の文字クラスに含め，小書きの片仮名は片仮名（cl-16）の文字クラスに含める（その扱いは平仮名（cl-15）又は片仮名（cl-16）の欄を参照）．
C.2#4	C.2	4	For the default one em spacing after dividing punctuation marks (cl-04) at the end of a sentence, full-width ideographic space (cl-14) can be used. See § 3.1.6 Positioning of Dividing Punctuation Marks (Question Mark and Exclamation Mark) and Hyphens for more detail on how to deal with this case.	文末に配置する区切り約物（cl-04）の後ろは，全角アキとする．その場合，区切り約物（cl-04）の後ろに和字間隔（cl-14）を配置して処理する方法がある．この場合の問題点は，§ 3.1.6 区切り約物及びハイフン類の配置方法 参照．
C.2#5	C.2	5	There is no line break opportunity between following couple of consecutive inseparable characters (cl-08) as follows: EM DASH "―", EM DASH "―" HORIZONTAL ELLIPSIS "…", HORIZONTAL ELLIPSIS "…" TWO DOT LEADER "‥", TWO DOT LEADER "‥" VERTICAL KANA REPEAT MARK UPPER HALF "〳", VERTICAL KANA REPEAT MARK LOWER HALF "〵" VERTICAL KANA REPEAT WITH VOICED SOUND MARK UPPER HALF "〴", VERTICAL KANA REPEAT MARK LOWER HALF "〵" When the combination of preceding inseparable characters (cl-08) and the trailing inseparable characters (cl-08) is different each other, the two characters are separable. For example, when two EM DASH "―" appears consecutively, these two characters are inseparable, and consecutive EM DASH "―" and HORIZONTAL ELLIPSIS "…" are separable.	後ろに配置する分離禁止文字（cl-08）の文字及び前に配置する分離禁止文字（cl-08）が次に示す組合せで連続した場合は，分割不可とする． 前にダッシュ（全角）[—] (EM DASH)と，後ろにダッシュ（全角）[—] (EM DASH) 前に三点リーダ[…] (HORIZONTAL ELLIPSIS)と，後ろに三点リーダ[…] (HORIZONTAL ELLIPSIS) 前に二点リーダ[‥] (TWO DOT LEADER)と，後ろに二点リーダ[‥] (TWO DOT LEADER) 前にくの字点上[〳] (VERTICAL KANA REPEAT MARK UPPER HALF)と，後ろにくの字点下[〵] (VERTICAL KANA REPEAT MARK LOWER HALF) 前にくの字点上（濁点）[〴] (VERTICAL KANA REPEAT WITH VOICED SOUND MARK UPPER HALF)と，後ろにくの字点下[〵] (VERTICAL KANA REPEAT MARK LOWER HALF) 後ろに配置する分離禁止文字（cl-08）の文字及び前に配置する分離禁止文字（cl-08）が上記とは異なる組合せの場合は，分割可とする．例えば，ダッシュ（全角）[―] (EM DASH)の後ろにダッシュ（全角）[―] (EM DASH)が連続する場合，その字間では分割不可である．ダッシュ（全角）[―] (EM DASH)の後ろに三点リーダ[…] (HORIZONTAL ELLIPSIS)が連続する場合，その字間では分割可である．
C.2#6	C.2	6	There is no line break opportunity between two consecutive characters belonging to the same ornamented character complex (cl-21). If two consecutive characters belong to different ornamented character complexes (cl-21), a line break opportunity exists between them.	後ろに配置する親文字群中の文字（添え字付き）（cl-21）の文字が，前に配置する“親文字群中の文字（添え字付き）（cl-21）と同一の親文字群の文字の場合は，分割不可とする．後ろに配置する親文字群中の文字（添え字付き）（cl-21）の文字が，前に配置する親文字群中の文字（添え字付き）（cl-21）とは別の親文字群の文字の場合は，分割可とする．
C.2#7	C.2	7	There is no line break opportunity between two consecutive characters belonging to the same simple-ruby character complex (cl-22). If two consecutive characters belong to different simple-ruby character complexes (cl-22), a line break opportunity exists between them.	後ろに配置する親文字群中の文字（熟語ルビ以外のルビ付き）（cl-22）の文字が，前に配置する親文字群中の文字（熟語ルビ以外のルビ付き）（cl-22）と同一の親文字群の文字の場合は，分割不可とする．後ろに配置する親文字群中の文字（熟語ルビ以外のルビ付き）（cl-22）の文字が，前に配置する親文字群中の文字（熟語ルビ以外のルビ付き）（cl-22）とは別の親文字群の文字の場合は，分割可とする．
C.2#8	C.2	8	A line break opportunity exists between two consecutive base characters belonging to different jukugo-ruby character complexes (cl-23). There is also a line break opportunity between two consecutive base characters belonging to the same jukugo-ruby character complex (cl-23) and between two runs of ruby text accompanying the corresponding base characters. However, a base character and the accompanying ruby text shall be indivisible, hence there is no line break opportunity between any two consecutive ruby characters in a run of ruby text accompanying a base character.	後ろに配置する親文字群中の文字（熟語ルビ付き）（cl-23）の文字が，前に配置する親文字群中の文字（熟語ルビ付き）（cl-23）とは別の親文字群の文字の場合，その親文字群間では分割可とする．また，同じ親文字群中の文字（熟語ルビ付き）（cl-23）であっても，1字の親文字とその親文字に対応するルビ文字のグループと，別の親文字とその親文字に対応するルビ文字のグループの間でも分割可とする．ただし，1字の親文字とその親文字に対応するルビ文字のグループについては一体として扱い，いずれの間でも分割不可とする．
C.2#9	C.2	9	There is no line break opportunity between preceding grouped numerals (cl-24) and trailing postfixed abbreviations (cl-13). The alternative approach is to allow a line to break before trailing PERCENT SIGN "%", in which case PERCENT SIGN "%" shall be treated as a member of the ideographic character (cl-19) class.	前に配置する連数字中の文字（cl-24）と後ろに配置する後置省略記号（cl-13）の字間では，分割不可である．ただし，パーセント記号[％] (PERCENT SIGN)については，前に配置する連数字中の文字（cl-24）との字間で分割を許容する方法もある．この場合，パーセント記号[％] (PERCENT SIGN)は，漢字等（cl-19）の文字クラスに含める．
C.2#10	C.2	10	There are two approaches: one is to allow a line to break between preceding grouped numerals (cl-24) and trailing Western characters (cl-27), and the other is not to.	前に配置する連数字中の文字（cl-24）と後ろに配置する欧文用文字（cl-27）との字間では，分割可とする方法と，分割不可とする方法とがある．
C.2#11	C.2	11	A line break opportunity generally exists between preceding Western characters (cl-27) and trailing postfixed abbreviations (cl-13), unless the preceding Western character (cl-27) is used as a symbol of a quantity or a European numeral, in which case a line break is not allowed between them.	前に配置する欧文用文字（cl-27）の後ろに後置省略記号（cl-13）を配置する場合は，一般に分割可である．しかし，前に配置する欧文用文字（cl-27）が量を示す記号（量記号）又はアラビア数字の場合は分割不可とする．
C.2#12	C.2	12	There is no line break opportunity between two consecutive Western characters (cl-27). In order to break a line in the middle of a Western word, it needs to be divided into two syllables first. Then a line can be broken between the two by adding HYPHEN "-" at the line end.	前に配置する欧文用文字（cl-27）と後ろに配置する欧文用文字（cl-27）との字間では，分割不可である．ただし，欧文用文字（cl-27）で構成する単語を音節に従い分割し，行末にハイフン[-] (HYPHEN)を付けることで，分割が可能になる．
C.2#13	C.2	13	There is no line break opportunity between two consecutive characters belonging to the same set of characters in tate-chu-yoko (cl-30). If two consecutive characters belong to different sets of characters in tate-chu-yoko (cl-30), there a line break opportunity exists between them.	後ろに配置する“縦中横中の文字（cl-30）の文字が，前に配置する縦中横中の文字（cl-30）と同一の縦中横のグループに属する場合は，分割不可とする．後ろに配置する縦中横中の文字（cl-30）の文字が，前に配置する縦中横中の文字（cl-30）とは別のグループに属する縦中横の場合は，分割可とする．
D.2#1	D.2	1	The default unadjusted spacing when a middle dot (cl-05) is followed by a middle dot (cl-05), is the sum of the conditional quarter em space accompanying the preceding middle dot (cl-05) and the conditional quarter em space accompanying the trailing middle dot (cl-05). Tables 3 and 4 allow these two instances of quarter em space to be reduced, to leave no space as a minimum. The priority order in space reduction is the fourth in Table 3, and it is the second priority in Table 4.	前に配置する文字クラスが中点類（cl-05）で後ろに配置する文字クラスが中点類（cl-05）の場合の原則的なアキは，前に配置する中点類（cl-05）の文字サイズの四分アキ＋後ろに配置する中点類（cl-05）の文字サイズの四分アキである．表3及び表4では，この2つの四分アキをベタ組まで詰める調整が可能である．表3の優先順位は第4段階，表4の優先順位は第2段階である．
D.2#2	D.2	2	The default unadjusted space when a full stop (cl-06) is followed by a middle dot (cl-05), is the sum of the conditional half em space accompanying the preceding full stop (cl-06) and the conditional quarter em space accompanying the trailing middle dot (cl-05). Tables 3 and 4 allow the quarter em space accompanying the trailing middle dot (cl-05) to be reduced, to leave no space as a minimum. The priority order in space reduction is the fourth in Table 3, and it is the second priority in Table 4.	前に配置する文字クラスが句点類（cl-06）で後ろに配置する文字クラスが中点類（cl-05）の場合の原則的なアキは，前に配置する句点類（cl-06）の文字サイズの二分アキ＋後ろに配置する中点類（cl-05）の文字サイズの四分アキである．表3及び表4では，後ろに配置する中点類（cl-05）の四分アキをベタ組まで詰める調整が可能である．表3の優先順位は第4段階，表4の優先順位は第2段階である．
D.2#3	D.2	3	The default unadjusted space when a comma (cl-07) is followed by a middle dot (cl-05), is the sum of the conditional half em space accompanying the preceding comma (cl-07) and the conditional quarter em space accompanying the trailing middle dot (cl-05) (in Table 4, the conditional half space accompanying preceding comma (cl-07) and the conditional quarter space accompanying trailing middle dot (cl-05) can be reduced to solid setting). Table 5 allows the conditional half em space accompanying preceding comma (cl-07) to be reduced to a quarter space as a minimum. The priority order in space reduction for the conditional space accompanying middle dots (cl-05) is the fourth in Table 3 and the second in Table 4. The priority order in space reduction for the conditional space accompanying comma (cl-07) is the fifth in Table 3 and the third in Table 5.	前に配置する文字クラスが読点類（cl-07）で後ろに配置する文字クラスが中点類（cl-05）の場合の原則的なアキは，前に配置する読点類（cl-07）の文字サイズの二分アキ＋後ろに配置する中点類（cl-05）の文字サイズの四分アキである（表4では後ろに配置する中点類（cl-05）の文字サイズの四分アキ）．表3では，前に配置する読点類（cl-07）の二分アキ及び後ろに配置する中点類（cl-05）の四分アキをベタ組まで詰める調整が可能である．表4では，後ろに配置する中点類（cl-05）の四分アキをベタ組まで詰める調整が可能である．表5では，前に配置する読点類（cl-07）の二分アキを四分アキまで詰める調整が可能である．中点類（cl-05）の調整の優先順位は，表3は第4段階，表4は第2段階である．読点類（cl-07）の調整の優先順位は，表3は第5段階，表5は第3段階である．
D.2#4	D.2	4	There is no opportunity for space reduction for a Western word space (cl-26) at the line head and at the line end since there is supposed to be no visible space. The same applies to the Western word space (cl-26) at the line head or the line end of warichu (inline cutting note). If the condition is changed for the same text, restore the default visible space for Western word space (cl-26).	行頭又は行末の欧文間隔（cl-26）は，空き量を0とするので，詰める処理の対象にならない．割注の行頭又は行末に欧文間隔（cl-26）を配置する場合も同様である．ただし，この部分が移動し，これとは異なる配置になった場合は，欧文間隔（cl-26）の空き量を確保する．
D.2#5	D.2	5	Table 3, and only Table 3, allows the preceding and trailing conditional quarter em space accompanying middle dots (cl-05) to be reduced to leave no space. The priority order is the third.	表3に限るが，行末に配置する中点類（cl-05）の前及び後ろの四分アキを一緒にベタ組にする処理が可能である．優先順位は第3段階である．
E.2#1	E.2	1	If the IDEOGRAPHIC ITERATION MARK "々" is allowed to appear at the head of a line or that of inline cutting note, the character shall be treated as a member of the ideographic character (cl-19) class. (For how it behaves in combination with other character classes, see the cells for ideographic characters (cl-19).)	繰返し記号[々] (IDEOGRAPHIC ITERATION MARK)を行頭又は割注行頭に配置することを許容する場合，繰返し記号[々] (IDEOGRAPHIC ITERATION MARK)は漢字等（cl-19）の文字クラスに含める（その扱いは漢字等（cl-19）の欄を参照）．
E.2#2	E.2	2	If a prolonged sound mark (cl-10) is allowed to appear at the line head or that of inline cutting note, the character shall be treated as a member of the katakana (cl-16) class. (For how it behaves in combination with other character classes, see the cells for katakana (cl-16).)	長音記号（cl-10）を行頭又は割注行頭に配置することを許容する場合，それは片仮名（cl-16）の文字クラスに含める（その扱いは片仮名（cl-16）の欄を参照）．
E.2#3	E.2	3	If small kana (cl-11) are allowed to appear at the head of a line or that of inline cutting note, the character shall be treated as a member of the hiragana (cl-15) or katakana (cl-16) class accordingly, depending on the script type of the character. (For how it behaves in combination with other character classes, see the cells for hiragana (cl-15) or katakana (cl-16).)	小書きの仮名（cl-11）を行頭又は割注行頭に配置することを許容する場合，小書きの平仮名は平仮名（cl-15）の文字クラスに含め，小書きの片仮名は片仮名（cl-16）の文字クラスに含める（その扱いは平仮名（cl-15）又は片仮名（cl-16）の欄を参照）．
E.2#4	E.2	4	A third order opportunity exists for inter-character spacing expansion, to take up to a maximum of a quarter em space, with respect to the corresponding character size, between two consecutive inseparable characters (cl-08) which are of different kinds.	後ろに配置する分離禁止文字（cl-08）の文字が，前に配置する分離禁止文字（cl-08）とは別の種類の文字の場合，優先順位が第3段階の最大で四分アキまで文字サイズ比で均等に空ける処理は可とする．
E.2#5	E.2	5	A third order opportunity exists for inter-character spacing expansion, to take up to a maximum of a quarter em space, with respect to the corresponding character size, between the two consecutive characters which belong to different ornamented character complexes (cl-21)	後ろに配置する親文字群中の文字（添え字付き）（cl-21）の文字が，前に配置する親文字群中の文字（添え字付き）（cl-21）とは別の親文字群の文字の場合，優先順位が第3段階の最大で四分アキまで文字サイズ比で均等に空ける処理は可とする．それ以外は，空け処理否とする．
E.2#6	E.2	6	A third order opportunity exists for inter-character spacing expansion, to take up to a maximum of a quarter em space, with respect to the corresponding character size, if the two consecutive characters belong to different simple-ruby character complexes (cl-22). If not, inter-character spacing expansion is not allowed.	後ろに配置する親文字群中の文字（熟語ルビ以外のルビ付き）（cl-22）の文字が，前に配置する親文字群中の文字（熟語ルビ以外のルビ付き）（cl-22）とは別の親文字群の文字の場合，優先順位が第3段階の最大で四分アキまで文字サイズ比で均等に空ける処理は可とする．それ以外は，空け処理否とする．
E.2#7	E.2	7	A third order opportunity exists for inter-character spacing expansion, to take up to a maximum of a quarter em space, with respect to the corresponding character size, if the two consecutive base characters belonging to different jukugo-ruby character complexes (cl-23). If not, inter-character spacing expansion is not allowed.	後ろに配置する親文字群中の文字（熟語ルビ付き）（cl-23）の文字が，前に配置する親文字群中の文字（熟語ルビ付き）（cl-23）とは別の親文字群の文字の場合，優先順位が第3段階の最大で四分アキまで文字サイズ比で均等に空ける処理は可とする．それ以外は，空け処理否とする．
E.2#8	E.2	8	There is no opportunity for inter-character spacing expansion between a preceding grouped numeral (cl-24) and a trailing postfixed abbreviation (cl-13), unless the alternative approach is chosen which allows a line to break between a preceding grouped numeral (cl-24) and the trailing PERCENT SIGN "%", where PERCENT SIGN "%" shall be treated as a member of the ideographic character (cl-19) class, in front of which inter-character spacing is expandable.	前に配置する連数字中の文字（cl-24）と後ろに配置する後置省略記号（cl-13）の字間は，空ける調整に使用できない．ただし，パーセント記号[％] (PERCENT SIGN)については，前に配置する連数字中の文字（cl-24）との字間で2行に分割することを許容する方法もある．この場合は，パーセント記号[％] (PERCENT SIGN)は，漢字等（cl-19）の文字クラスに含めるので，空ける調整が可能な箇所になる．
