# spec/derived/questions.tsv
#
# Generated by `cargo run -p xtask -- derive`. Do not edit. `derive --check`
# fails when rereading the snapshot would change a byte, and a hand edit is a bug
# even when it is correct, because the next revision of the specification will
# not carry it forward (ADR 0009).
#
# One row per place JLReq permits more than one answer: the `Question` constant docs/design/api-spine.md publishes, the address that permits the alternative, every answer with the sentence it rests on and the rule stating it, whether JLReq calls it preferred, the answer each of the five presets selects, and the exclusions `Policy::with` reads.
#
# Source: spec/snapshot/index.html
# Source SHA-256: cfb1def5bf1594d59080a26d8d03c2670bb3116490ab57ef6e131b166a7c832f
# Reader: xtask/src/derive.rs, xtask/src/inventory.rs, xtask/src/policy.rs
# Reader SHA-256: 01fa49824771c2ca67ce29cd58d3d509120cce6211201de6774123276bba3ce8

question	constant	address	permission	locale	permits	rule	answer_rules	statements	preferred	jlreq	jis_reading	book	magazine	newspaper	excludes	evidence
spacing.line_head_opening_bracket	LINE_HEAD_OPENING_BRACKET	3.1.5	stated	en	pattern-1 pattern-2 pattern-3	4	4|4|4	The first line indent after the line feed is set full-width (one em) and the next line after the first line break starts with no space|The first line indent after the line feed is set one and a half em and the next line indent after the first line break is set to a half em|The first line indent after the line feed is set at a half em and the next line after the first line break is set tentsuki	none	pattern-1	pattern-1	pattern-3	pattern-1	pattern-1		When starting a new line with opening brackets (cl-01) there are some patterns as shown in Figure 71.
ruby.overhang_kana	RUBY_OVERHANG_KANA	B.2#7	stated	en	kana jis any none	65	65|65|65|65	the preferred approach is to allow the ruby text to be extended up to the size of the ruby character over the katakana|if it is required to conform to JIS X 4051, ruby text shall not be extended over the katakana because katakana characters belong to the ideographic character class in JIS X 4051|one of which is to allow ruby text to be extended up to the size of the ruby character over any character including ideographic (cl-19) as well as hiragana (cl-15) and katakana (cl-16) characters|another is NOT to allow ruby text to be extended over any character from hiragana (cl-15), katakana (cl-16) and ideographic characters (cl-19)	kana	kana	jis	kana	kana	kana		There are alternative methods, one of which is to allow ruby text to be extended up to the size of the ruby character over any character including ideographic (cl-19) as well as hiragana (cl-15) and katakana (cl-16) characters
ruby.overhang_indent	RUBY_OVERHANG_INDENT	B.2#8	stated	en	permitted prohibited	66	66|66	The preferred approach is to apply the same for the full-width line head indent at the beginning of a paragraph.|The alternative approach is not to allow ruby text to be extended over the line head indent.	permitted	permitted	permitted	permitted	permitted	permitted		The alternative approach is not to allow ruby text to be extended over the line head indent.
ruby.alignment	RUBY_ALIGNMENT	3.3.5	stated	en	nakatsuki katatsuki	22	22|22	attach a ruby character so that its vertical center matches that of the base character|attach a ruby character so that the top of its virtual body is aligned with the top of that of the base character	none	nakatsuki	nakatsuki	nakatsuki	nakatsuki	nakatsuki		When attaching a single hiragana (cl-15) ruby character to a single base character, there are two ways of positioning the ruby character.
ruby.group_distribution	GROUP_RUBY_DISTRIBUTION	3.3.6	stated	en	jis flush	23	23|23	add 1 unit of spacing between the start of the base text and the start of the ruby text, and between the end of the ruby text and the end of the base text. This will give a balanced appearance, and is the method specified in JIS X 4051|Another way is to first align the leading characters for both the base text and ruby text and the ends of both trailing characters, and then add the same amount of inter-character spacing between the rest of the ruby characters	none	jis	jis	jis	jis	jis		Another way is to first align the leading characters for both the base text and ruby text and the ends of both trailing characters, and then add the same amount of inter-character spacing between the rest of the ruby characters
ruby.jukugo_layout	JUKUGO_RUBY_LAYOUT	3.3.7	stated	en	group phonetic	24	24|24	The available methods include the layout as specified in JIS X 4051|layout decided by the phonetic structure of the kanji compound word and the type of script of the adjacent characters	none	group	group	group	group	group		The available methods include the layout as specified in JIS X 4051
kinsoku.iteration_mark_at_line_head	ITERATION_MARK_AT_LINE_HEAD	B.2#14	stated	en	prohibited permitted replaced	72	72|72|72	Follow the principle by applying some sort of line adjustment.|Allow IDEOGRAPHIC ITERATION MARK "々" to be placed either at the line head or at the head of an inline cutting note.|Replace IDEOGRAPHIC ITERATION MARK "々" with the corresponding character.	none	prohibited	prohibited	prohibited	prohibited	prohibited		there are three ways to deal with this situation
adjustment.hanging_punctuation	HANGING_PUNCTUATION	3.8.2	stated	en	none hanging	42	42|42	This method is not formally defined in JIS X 4051, however JIS X 4051 does provide explanatory material about it.|Line adjustment by hanging punctuation is a method of avoiding line head wrap of full stops (cl-06) and commas (cl-07).	none	none	none	hanging	none	none		Line adjustment by hanging punctuation is a method of avoiding line head wrap of full stops (cl-06) and commas (cl-07). This method is not formally defined in JIS X 4051, however JIS X 4051 does provide explanatory material about it.
kinsoku.grouped_numeral_before_western	GROUPED_NUMERAL_BEFORE_WESTERN	C.2#10	stated	en	breakable unbreakable	85	85|85	one is to allow a line to break between preceding grouped numerals (cl-24) and trailing Western characters (cl-27)|and the other is not to	none	breakable	breakable	breakable	breakable	breakable		There are two approaches: one is to allow a line to break between preceding grouped numerals (cl-24) and trailing Western characters (cl-27), and the other is not to.
spacing.sentence_medial_dividing_mark	SENTENCE_MEDIAL_DIVIDING_MARK	3.1.6	stated	en	solid quarter-em	5	5|5	add no spacing|a quarter em spacing before and after the dividing punctuation mark	none	solid	solid	solid	solid	solid		either add no spacing or a quarter em spacing before and after the dividing punctuation mark
adjustment.japanese_latin_expansion_ceiling	JAPANESE_LATIN_EXPANSION_CEILING	3.8.4	stated	en	half-em third-em rigid	44	44|44|44	half em spacing|one third em spacing|is regarded as a fixed spacing, and spacing adaptation is not applied	none	half-em	half-em	half-em	half-em	half-em		is increased equally with proportional character size, up to half em spacing (or one third em spacing)
adjustment.expansion_order	EXPANSION_ORDER	3.8.4	silent	en	jis implementation	44	44|44	In JIS X 4051, the following processing order is defined.|it depends on each layout processing system whether inter-character spacing should be added equally	none	jis	jis	jis	jis	jis		In JIS X 4051, the following processing order is defined.
adjustment.preference	ADJUSTMENT_PREFERENCE	C.3	silent	en	least-adjustment even-texture	50	50|50	the very strict rule is for the best appearance at the line head|the strict rule is best to avoid inter-character spacing adjustment	none	least-adjustment	least-adjustment	least-adjustment	least-adjustment	least-adjustment		the very strict rule is for the best appearance at the line head, while the strict rule is best to avoid inter-character spacing adjustment
adjustment.remainder	REMAINDER	3.8.3	silent	en	leading trailing	43	43|43	The same width reduction is applied to all spaces on the target line at the same time.|The same width reduction is applied to all spaces on the target line at the same time.	none	leading	leading	leading	leading	leading		The same width reduction is applied to all spaces on the target line at the same time.
classification.unlisted_code_point	UNLISTED_CODE_POINT	3.9.2	silent	en	by-frame ideographic	46	46|46	Furthermore JIS X 4051 states that it is implementation-defined how to handle characters that are not explicitly mentioned, e.g. whether they should belong to either class or not.|Furthermore JIS X 4051 states that it is implementation-defined how to handle characters that are not explicitly mentioned, e.g. whether they should belong to either class or not.	none	by-frame	by-frame	by-frame	by-frame	by-frame		Furthermore JIS X 4051 states that it is implementation-defined how to handle characters that are not explicitly mentioned, e.g. whether they should belong to either class or not.
classification.ambiguous_context	AMBIGUOUS_CONTEXT	3.9.2	silent	en	lowest-class highest-class	46	46|46	In this particular case, Japanese design is better.|In this case, English spelling is indicated using parentheses in a Japanese line of text.	none	lowest-class	lowest-class	lowest-class	lowest-class	lowest-class		In this case, English spelling is indicated using parentheses in a Japanese line of text. In this particular case, Japanese design is better.
classification.grouped_numeral_qualification	GROUPED_NUMERAL_QUALIFICATION	3.9.2	silent	en	by-width by-role	46	46|46	Sequences of European numerals which are not full-width and are handled as Japanese text, the decimal point or the comma and space used as a decimal place indicator in numbers.|Sequences of European numerals which are not full-width and are handled as Japanese text, the decimal point or the comma and space used as a decimal place indicator in numbers.	none	by-width	by-width	by-width	by-width	by-width		Sequences of European numerals which are not full-width and are handled as Japanese text, the decimal point or the comma and space used as a decimal place indicator in numbers.
kinsoku.relaxation_mechanism	RELAXATION_MECHANISM	C.3	contradictory	en	reclassify matrix	50	76|50	the character shall be treated as a member of the ideographic character (cl-19) class|Breaking a line is allowed before or after the following character classes even though Table 2 prohibits it.	none	reclassify	reclassify	reclassify	reclassify	reclassify		Breaking a line is allowed before or after the following character classes even though Table 2 prohibits it.
